ID,AUTHOR,WORK,LOCATION,TEXT,Vm,VM_LEMMA,VM_PERSONAL,VM_MOD,Vinf,VINF_A,VINF_B,VINF_C,VINF_D,Vinf_Cop,Obj,OBJ_A,OBJ_B,OBJ_C,Pred,PRED_A,pred_a_pos,PRED_B,pred_b_pos,PRED_C,pred_c_pos,PRED_D,pred_d_pos,PRED_E,PRED_F,PRED_G,Attr,Attr_B,CHECK,Anot,DIST_OBJ_PRED,GENRE,DIALECT,autor_legivel,Variation,pos_pred_a,OBJ_TH
29,Aeschines (0026),Against Ctesiphon (003),t.1,"ἐβουλόμην μὲν οὖν, ὦ ἄνδρες Ἀθηναῖοι, καὶ τὴν βουλὴν τοὺς πεντακοσίους καὶ τὰς ἐκκλησίας ὑπὸ τῶν ἐφεστηκότων ὀρθῶς διοικεῖσθαι, καὶ τοὺς νόμους οὓς ἐνομοθέτησεν ὁ Σόλων περὶ τῆς τῶν ῥητόρων εὐκοσμίας ἰσχύειν, ἵνα ἐξῆν πρῶτον μὲν τῷ πρεσβυτάτῳ τῶν πολιτῶν, ὥσπερ οἱ νόμοι προστάττουσι, σωφρόνως ἐπὶ τὸ βῆμα παρελθόντι ἄνευ θορύβου καὶ ταραχῆς ἐξ ἐμπειρίας τὰ βέλτιστα τῇ πόλει συμβουλεύειν, δεύτερον δ’ ἤδη καὶ τῶν ἄλλων πολιτῶν τὸν βουλόμενον καθ’ ἡλικίαν χωρὶς καὶ ἐν μέρει περὶ ἑκάστου γνώμην ἀποφαίνεσθαι·",ἐξῆν,ἔξεστι,FALSE,TRUE,συμβουλεύειν,συμβουλεύειν,NA,NA,NA,FALSE,τῷ πρεσβυτάτῳ,τῷ πρεσβυτάτῳ,NA,NA,παρελθόντι,παρελθόντι,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,11,juridical,attic,Aeschines,FALSE,P,Agent
35,Aeschines (0026),Against Timarchus (001),150.1,"ὡς τοίνυν ἐξῆν αὐτῷ σωθῆναι μὴ τιμωρησαμένῳ τὸν τοῦ Πατρόκλου θάνατον, ἀνάγνωθι ἃ λέγει ἡ Θέτις.",ἐξῆν,ἔξεστι,FALSE,TRUE,σωθῆναι,σωθῆναι,NA,NA,NA,FALSE,αὐτῷ,αὐτῷ,NA,NA,τιμωρησαμένῳ,τιμωρησαμένῳ,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,Condicional,3,juridical,attic,Aeschines,FALSE,P,Agent
58,Aeschines (0026),The Speech on the Embassy (002),4.1,"ἐμοὶ δέ, ἄνδρες Ἀθηναῖοι, συμβέβηκε τῆς Δημοσθένους ἀκούοντι κατηγορίας μήτε δεῖσαι πώποθ’ οὕτως ὡς ἐν τῇδε τῇ ἡμέρᾳ, μήτ’ ἀγανακτῆσαι μᾶλλον ἢ νῦν, μήτ’ εἰς ὑπερβολὴν ὁμοίως ἡσθῆναι.",συμβέβηκε,συμβαίνω,FALSE,TRUE,"δεῖσαι, ἀγανακτῆσαι, ἡσθῆναι",δεῖσαι,ἀγανακτῆσαι,ἡσθῆναι,NA,FALSE,ἐμοὶ,ἐμοὶ,NA,NA,ἀκούοντι,ἀκούοντι,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,Válido para ambos os infinitivos?,7,juridical,attic,Aeschines,FALSE,P,Agent
59,Aeschines (0026),The Speech on the Embassy (002),28.1,"ἀφικομένου δ’ εἰς τοὺς τόπους Ἰφικράτους μετ’ ὀλίγων τὸ πρῶτον νεῶν, ἐπὶ κατασκοπῇ μᾶλλον τῶν πραγμάτων ἢ πολιορκίᾳ τῆς πόλεως, ἐνταῦθα, ἔφην ἐγώ, μετεπέμψατο αὐτὸν Εὐρυδίκη ἡ μήτηρ ἡ σή, καὶ ὥς γε δὴ λέγουσιν οἱ παρόντες πάντες, Περδίκκαν μὲν τὸν ἀδελφὸν τὸν σὸν καταστήσασα εἰς τὰς χεῖρας τὰς Ἰφικράτους, σὲ δὲ εἰς τὰ γόνατα τὰ ἐκείνου θεῖσα παιδίον ὄντα, εἶπεν ὅτι Ἀμύντας ὁ πατὴρ τῶν παιδίων τούτων, ὅτ’ ἔζη, υἱὸν ἐποιήσατό σε, τῇ δὲ Ἀθηναίων πόλει οἰκείως ἐχρήσατο, ὥστε συμβαίνει σοι καὶ ἰδίᾳ τῶν παίδων τούτων γεγενῆσθαι ἀδελφῷ, καὶ δημοσίᾳ φίλῳ ἡμῖν εἶναι.",συμβαίνει,συμβαίνω,FALSE,TRUE,"γεγενῆσθαι, εἶναι",γεγενῆσθαι,εἶναι,NA,NA,TRUE,σοι,σοι,NA,NA,"ἀδελφῷ, φίλῳ",ἀδελφῷ,N,φίλῳ,A,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,kai idiai... Kai demosiai,7,juridical,attic,Aeschines,φίλον,N,Experiencer
63,Aeschines (0026),The Speech on the Embassy (002),147.5,"καὶ συμβέβηκε δὲ αὐτῷ νέῳ μὲν ὄντι, πρὶν τὴν οὐσίαν ἀπολέσαι διὰ τὸν πόλεμον, ἀθλεῖν τῷ σώματι, ἐκπεσόντι δὲ ὑπὸ τῶν τριάκοντα στρατεύεσθαι μὲν ἐν τῇ Ἀσίᾳ, ἀριστεύειν δ’ ἐν τοῖς κινδύνοις, εἶναι δ’ ἐκ φρατρίας τὸ γένος ἣ τῶν αὐτῶν βωμῶν Ἐτεοβουτάδαις μετέχει, ὅθεν ἡ τῆς Ἀθηνᾶς τῆς Πολιάδος ἐστὶν ἱέρεια, συγκατάγειν δὲ τὸν δῆμον, ὥσπερ καὶ ὀλίγῳ πρότερον εἶπον.",συμβέβηκε,συμβαίνω,FALSE,TRUE,"ἀθλεῖν, στρατεύεσθαι",ἀθλεῖν,στρατεύεσθαι,NA,NA,FALSE,αὐτῷ,αὐτῷ,NA,NA,"νέῳ μὲν ὄντι, ἐκπεσόντι δὲ",νέῳ μὲν ὄντι,P,ἐκπεσόντι δὲ,P,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,Setting temporal com contrastes de tempo. Entra?,1,juridical,attic,Aeschines,FALSE,P,Agent
67,Aeschines (0026),Against Ctesiphon (003),91.6,"οὐδὲν γὰρ ἦν τὸ μέσον, εἰ μνησθεὶς τῶν προτέρων ἀδικημάτων ὁ δῆμος μὴ προσδέξαιτο τὴν συμμαχίαν, ἀλλ’ ὑπῆρχεν αὐτῷ ἢ φεύγειν ἐκ Χαλκίδος, ἢ τεθνάναι ἐγκαταληφθέντι·",ὑπῆρχεν,ὑπάρχω,FALSE,TRUE,τεθνάναι,τεθνάναι,NA,NA,NA,FALSE,αὐτῷ,αὐτῷ,NA,NA,ἐγκαταληφθέντι,ἐγκαταληφθέντι,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,"Ordem curiosa, sem variação na edição, segundo infinitivo",7,juridical,attic,Aeschines,FALSE,P,Agent
75,Aeschines (0026),Against Ctesiphon (003),158.3,"ὑμεῖς δέ, ὦ ἄνδρες Ἀθηναῖοι, οὐκ αἰσχύνεσθε, εἰ ἐπὶ μὲν τοὺς πορθμέας τοὺς εἰς Σαλαμῖνα πορθμεύοντας νόμον ἔθεσθε, ἐάν τις αὐτῶν ἄκων ἐν τῷ πόρῳ πλοῖον ἀνατρέψῃ, τούτῳ μὴ ἐξεῖναι πάλιν πορθμεῖ γενέσθαι, ἵνα μηδεὶς αὐτοσχεδιάζῃ εἰς τὰ τῶν Ἑλλήνων σώματα, τὸν δὲ τὴν Ἑλλάδα καὶ τὴν πόλιν ἄρδην ἀνατετροφότα, τοῦτον ἐάσετε πάλιν ἀπευθύνειν τὰ κοινά;",ἐξεῖναι,ἔξεστι,FALSE,TRUE,γενέσθαι,γενέσθαι,NA,NA,NA,FALSE,τούτῳ,τούτῳ,NA,NA,πορθμεῖ,πορθμεῖ,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,4,juridical,attic,Aeschines,FALSE,N,Agent
93,Aeschines (0026),The Speech on the Embassy (002),t.1,"δέομαι ὑμῶν, ὦ ἄνδρες Ἀθηναῖοι, ἐθελῆσαί μου μετ’ εὐνοίας ἀκοῦσαι λέγοντος, ὑπολογιζομένους τό τε μέγεθος τοῦ κινδύνου καὶ τὸ πλῆθος τῶν αἰτιῶν πρὸς ἃς ἀπολογήσασθαί με δεῖ, καὶ τὰς τέχνας καὶ τὰς κατασκευὰς τοῦ κατηγόρου καὶ τὴν ὠμότητα, ὃς ἐτόλμησε παρακελεύσασθαι πρὸς ἄνδρας ὀμωμοκότας τῶν ἀντιδίκων ὁμοίως ἀμφοτέρων ἀκούσεσθαι τοῦ κινδυνεύοντος φωνὴν μὴ ὑπομένειν.",δέομαι,δέομαι,TRUE,FALSE,ἀκοῦσαι,ἀκοῦσαι,NA,NA,NA,FALSE,ὑμῶν,ὑμῶν,NA,NA,ὑπολογιζομένους,ὑπολογιζομένους,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,NA,10,juridical,attic,Aeschines,FALSE,P,Recipient
94,Aeschines (0026),The Speech on the Embassy (002),6.6,"περὶ δὲ τῆς ἄλλης κατηγορίας δέομαι ὑμῶν, ὦ ἄνδρες Ἀθηναῖοι, ἐάν τι παραλίπω καὶ μὴ μνησθῶ, ἐπερωτᾶν με καὶ δηλοῦν ὅ τι ἂν ποθῆτε ἀκοῦσαι, μηδὲν προκατεγνωκότας, ἀλλ’ ἴσῃ τῇ εὐνοίᾳ ἀκούοντας.",δέομαι,δέομαι,TRUE,FALSE,"ἐπερωτᾶν, ἀκοῦσαι",ἐπερωτᾶν,ἀκοῦσαι,NA,NA,FALSE,ὑμῶν,ὑμῶν,NA,NA,"προκατεγνωκότας, ἀκούοντας",προκατεγνωκότας,P,ἀκούοντας,S,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,20,juridical,attic,Aeschines,"προκατεγνωκότες, ἀκούοντες",P,Recipient
97,Aeschines (0026),The Speech on the Embassy (002),44.5,δέομαι δὲ ὑμῶν προσεπιπονῆσαι ἀκούοντας καὶ τὴν λοιπὴν διήγησιν.,δέομαι,δέομαι,TRUE,FALSE,προσεπιπονῆσαι,προσεπιπονῆσαι,NA,NA,NA,FALSE,ὑμῶν,ὑμῶν,NA,NA,ἀκούοντας,ἀκούοντας,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,2,juridical,attic,Aeschines,FALSE,P,Recipient
