ID,AUTHOR,WORK,LOCATION,TEXT
2,Aeschines (0026),Against Ctesiphon (003),2.11,"οὕτω γὰρ ἄν μοι δοκεῖ ἥ τε πόλις ἄριστα διοικεῖσθαι, αἵ τε κρίσεις ἐλάχισται γίγνεσθαι."
3,Aeschines (0026),Against Ctesiphon (003),79.1,"ὡς γὰρ τάχιστα εἴσω Πυλῶν Φίλιππος παρῆλθε, καὶ τάς τε ἐν Φωκεῦσι πόλεις παραδόξως ἀναστάτους ἐποίησε, Θηβαίους τε, ὡς τόθ’ ὑμῖν ἐδόκει, περαιτέρω τοῦ καιροῦ καὶ τοῦ ὑμετέρου συμφέροντος ἰσχυροὺς κατεσκεύασεν, ὑμεῖς τε ἐκ τῶν ἀγρῶν φοβηθέντες ἐσκευαγωγήσατε, ἐν ταῖς μεγίσταις δ’ ἦσαν αἰτίαις οἱ πρέσβεις οἱ τὴν εἰρήνην πρεσβεύσαντες, πολὺ δὲ τῶν ἄλλων διαφερόντως Φιλοκράτης καὶ Δημοσθένης, διὰ τὸ μὴ μόνον πρεσβεύειν, ἀλλὰ καὶ τὰ ψηφίσματα γεγραφέναι, συνέβη τε ἐν τοῖς αὐτοῖς χρόνοις διαφέρεσθαί τι Δημοσθένην καὶ Φιλοκράτην σχεδὸν ὑπὲρ τούτων ὑπὲρ ὧν καὶ ὑμεῖς ὑπωπτεύσατε·"
4,Aeschines (0026),Against Ctesiphon (003),145.5,"καὶ τηλικαύτην αὐτὸς αὐτῷ δυναστείαν κατεσκεύασεν, ὥστ’ ἤδη παριὼν ἐπὶ τὸ βῆμα πρεσβεύσειν μὲν ἔφη ὅποι ἂν αὑτῷ δοκῇ, κἂν ὑμεῖς ἐκπέμπητε, εἰ δέ τις αὐτῷ τῶν στρατηγῶν ἀντείποι, καταδουλούμενος τοὺς ἄρχοντας καὶ συνεθίζων μηδὲν αὑτῷ ἀντιλέγειν, διαδικασίαν ἔφη γράψειν τῷ βήματι πρὸς τὸ στρατήγιον·"
5,Aeschines (0026),Against Ctesiphon (003),155.4,"καὶ γὰρ ἐὰν αὐτὰ διεξίῃ τὰ ἐκ τοῦ Ψηφίσματος προστάγματα, ἀλλ’ οὐ τό γ’ ἐκ τῆς ἀληθείας αἰσχρὸν σιωπήσεται, ἀλλὰ τἀναντία δόξει τῇ τοῦ κήρυκος φωνῇ φθέγγεσθαι, ὅτι τόνδε τὸν ἄνδρα, εἰ δὴ καὶ οὗτος ἀνήρ, στεφανοῖ ὁ δῆμος ὁ Ἀθηναίων ἀρετῆς ἕνεκα—τὸν κάκιστον, καὶ ἀνδραγαθίας ἕνεκα—τὸν ἄνανδρον καὶ λελοιπότα τὴν τάξιν."
6,Aeschines (0026),Against Ctesiphon (003),177.8,"εἰ γάρ τις ὑμᾶς ἐρωτήσειε, πότερον ὑμῖν ἐνδοξοτέρα δοκεῖ ἡ πόλις ἡμῶν εἶναι ἐπὶ τῶν νυνὶ καιρῶν ἢ ἐπὶ τῶν προγόνων, ἅπαντες ἂν ὁμολογήσαιτε, ἐπὶ τῶν προγόνων."
7,Aeschines (0026),Against Ctesiphon (003),181.1,"πότερον ὑμῖν ἀμείνων ἀνὴρ εἶναι δοκεῖ Θεμιστοκλῆς, ὁ στρατηγήσας ὅτ’ ἐν τῇ περὶ Σαλαμῖνα ναυμαχίᾳ τὸν Πέρσην ἐνικᾶτε, ἢ Δημοσθένης, ὁ νυνὶ τὴν τάξιν λιπών;"
8,Aeschines (0026),Against Ctesiphon (003),183.4,"οὗτοι δεῦρο ἀφικόμενοι τὸν δῆμον ᾔτησαν δωρεάν, καὶ ἔδωκεν αὐτοῖς ὁ δῆμος τιμὰς μεγάλας, ὡς τότ’ ἐδόκει, τρεῖς λιθίνους Ἑρμᾶς στῆσαι ἐν τῇ στοᾷ τῇ τῶν Ἑρμῶν, ἐφ’ ᾧτε μὴ ἐπιγράφειν τὸ ὄνομα τὸ ἑαυτῶν, ἵνα μὴ τῶν στρατηγῶν, ἀλλὰ τοῦ δήμου δοκῇ εἶναι τὸ ἐπίγραμμα."
9,Aeschines (0026),Against Ctesiphon (003),250.1,"ἢ οὐ δεινὸν ὑμῖν εἶναι δοκεῖ, εἰ τὸ μὲν βουλευτήριον καὶ ὁ δῆμος παρορᾶται, αἱ δ’ ἐπιστολαὶ καὶ αἱ πρεσβεῖαι ἀφικνοῦνται εἰς ἰδιωτικὰς οἰκίας, οὐ παρὰ τῶν τυχόντων ἀνθρώπων, ἀλλὰ παρὰ τῶν πρωτευόντων ἐν τῇ Ἀσίᾳ καὶ τῇ Εὐρώπῃ;"
10,Aeschines (0026),Against Timarchus (001),4.1,ἀλλά μοι δοκεῖ καιρὸς εἶναι καὶ ἐμὲ νῦν πρὸς ὑμᾶς τῷ αὐτῷ λόγῳ χρήσασθαι.
11,Aeschines (0026),Against Timarchus (001),25.1,"καὶ οὕτως ἦσαν σώφρονες οἱ ἀρχαῖοι ἐκεῖνοι ῥήτορες, ὁ Περικλῆς καὶ ὁ Θεμιστοκλῆς καὶ ὁ Ἀριστείδης, ὁ τὴν ἀνόμοιον ἔχων ἐπωνυμίαν Τιμάρχῳ τουτῳί, ὥστε ὃ νυνὶ πάντες ἐν ἔθει πράττομεν, τὸ τὴν χεῖρα ἔξω ἔχοντες λέγειν, τότε τοῦτο θρασύ τι ἐδόκει εἶναι, καὶ εὐλαβοῦντο αὐτὸ πράττειν."
